date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:55	39512/39512	---M--	200	added ('OK')	image/webp	etag:%229a58-668f955b-5a6a11c95fdc43dd;;;%22	https://ldsguarding.in/assets/img/auto.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/auto.webp	(from https://ldsguarding.in/)
21:59:56	81756/81756	---M--	200	added ('OK')	image/webp	etag:%2213f5c-668f956e-bc4f1ab438195af2;;;%22	https://ldsguarding.in/assets/img/education.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/education.webp	(from https://ldsguarding.in/)
21:59:56	79850/79850	---M--	200	added ('OK')	image/webp	etag:%22137ea-668f957f-1d5255fe2078452e;;;%22	https://ldsguarding.in/assets/img/government.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/government.webp	(from https://ldsguarding.in/)
21:59:56	40193/40193	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2016:29:56%20GMT	https://ldsguarding.in/industry	D:/website/security%20gurd/ldsguarding.in/industry.html	(from https://ldsguarding.in/)
21:59:56	14442/14442	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202025%2016:29:56%20GMT	https://ldsguarding.in/assets/img/viewAll.jpg	D:/website/security%20gurd/ldsguarding.in/assets/img/viewAll.jpg	(from https://ldsguarding.in/)
21:59:56	60100/60100	---M--	200	added ('OK')	image/webp	etag:%22eac4-668f9572-342acc055270cedc;;;%22	https://ldsguarding.in/assets/img/gallery/lds-security-guarding1.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/gallery/lds-security-guarding1.webp	(from https://ldsguarding.in/)
21:59:56	104976/104976	---M--	200	added ('OK')	image/webp	etag:%2219a10-668f9574-571f51dc96b641fe;;;%22	https://ldsguarding.in/assets/img/gallery/lds-security-guarding2.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/gallery/lds-security-guarding2.webp	(from https://ldsguarding.in/)
21:59:57	82858/82858	---M--	200	added ('OK')	image/webp	etag:%22143aa-668f9576-e73649e0db00cc1;;;%22	https://ldsguarding.in/assets/img/gallery/lds-security-guarding3.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/gallery/lds-security-guarding3.webp	(from https://ldsguarding.in/)
21:59:57	73900/73900	---M--	200	added ('OK')	image/webp	etag:%22120ac-668f9579-98bd376b7884714f;;;%22	https://ldsguarding.in/assets/img/gallery/lds-security-guarding4.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/gallery/lds-security-guarding4.webp	(from https://ldsguarding.in/)
21:59:57	91966/91966	---M--	200	added ('OK')	image/webp	etag:%221673e-668f957b-cd6a20ea43eeff67;;;%22	https://ldsguarding.in/assets/img/gallery/lds-security-guarding5.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/gallery/lds-security-guarding5.webp	(from https://ldsguarding.in/)
21:59:57	110084/110084	---M--	200	added ('OK')	image/webp	etag:%221ae04-668f957d-14ea024d37fdfcb3;;;%22	https://ldsguarding.in/assets/img/gallery/lds-security-guarding6.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/gallery/lds-security-guarding6.webp	(from https://ldsguarding.in/)
21:59:58	75540/75540	---M--	200	added ('OK')	image/webp	etag:%2212714-668f957e-79e2ab81123c96d2;;;%22	https://ldsguarding.in/assets/img/gallery/lds-security-guarding7.webp	D:/website/security%20gurd/ldsguarding.in/assets/img/gallery/lds-security-guarding7.webp	(from https://ldsguarding.in/)
21:59:58	11258/11258	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:58%20GMT	https://ldsguarding.in/assets/img/clients/caf.jpg	D:/website/security%20gurd/ldsguarding.in/assets/img/clients/caf.png	(from https://ldsguarding.in/)
21:59:58	55311/55311	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202025%2016:29:58%20GMT	https://ldsguarding.in/assets/img/clients/gov.jpg	D:/website/security%20gurd/ldsguarding.in/assets/img/clients/gov.jpg	(from https://ldsguarding.in/)
21:59:58	28905/28905	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:58%20GMT	https://ldsguarding.in/assets/img/clients/komaki.png	D:/website/security%20gurd/ldsguarding.in/assets/img/clients/komaki.png	(from https://ldsguarding.in/)
21:59:58	38927/38927	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2016:29:58%20GMT	https://ldsguarding.in/assets/img/clients/krbl-logo.jpg	D:/website/security%20gurd/ldsguarding.in/assets/img/clients/krbl-logo.png	(from https://ldsguarding.in/)
21:59:59	11158/11158	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202025%2016:29:59%20GMT	https://ldsguarding.in/assets/img/clients/lpsc.jpg	D:/website/security%20gurd/ldsguarding.in/assets/img/clients/lpsc.jpg	(from https://ldsguarding.in/)
21:59:59	44890/44890	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202025%2016:29:59%20GMT	https://ldsguarding.in/assets/img/clients/mahindra_logistics_logo.jpg	D:/website/security%20gurd/ldsguarding.in/assets/img/clients/mahindra_logistics_logo.jpg	(from https://ldsguarding.in/)
